packweight,flav_intense,flav_eval,purchase,age
2,6,5.666666667,2.99,21
2,5,5.333333333,5,24
1,4,6,4.5,24
2,5,4.333333333,4.5,27
1,3,5.333333333,2.5,23
1,5,3.666666667,4,22
2,7,6.333333333,3.49,24
1,6,5.666666667,4.5,25
2,6,5.333333333,4.49,24
2,4,3.666666667,2,20
2,5,5,5,20
2,6,5.666666667,2,25
2,6,5.666666667,4.5,24
2,4,4,3.5,27
1,3,5,3.5,27
2,7,6.666666667,4,25
1,6,6,5,20
1,5,2,0.99,24
1,4,5.666666667,5,24
2,6,2.333333333,3,21
1,5,3,6.95,24
1,5,6.333333333,7,19
2,6,6.666666667,3.49,21
2,5,5.333333333,5,24
1,5,3.666666667,2.99,36
1,4,4.333333333,5,21
2,6,4.666666667,4,26
2,5,4.666666667,3.99,20
2,4,4.333333333,8,22
1,4,3.666666667,7,23
2,6,2.333333333,0.5,24
1,6,6.333333333,10,24
1,6,5.333333333,3,23
2,4,4.333333333,2,27
1,3,2.333333333,1.99,24
1,6,1,2.99,22
2,5,4.666666667,3.5,27
1,5,5,1.95,25
1,6,6.666666667,3.5,20
2,4,4,3.7,27
2,6,5.666666667,8,24
1,5,6.333333333,10,21
1,3,4,1.99,30
2,7,6.666666667,3.5,22
2,6,4,6,28
1,6,5.666666667,7,24
2,6,5,5,24
2,5,2.666666667,6,22
1,5,3,3,24
1,6,5.666666667,5,19
1,4,3.333333333,3,23
1,5,3,3.99,23
2,6,3,2.99,23
2,7,6.666666667,8,23
1,5,3,7.5,25
1,4,2.666666667,8,22
2,5,6.333333333,7.5,19
1,5,2.666666667,2.99,31
2,4,4.333333333,3.95,22
2,5,5.666666667,2.5,29
2,6,6.333333333,4,23
1,5,6.666666667,5,24
1,5,5,3,23
2,5,5,3,22
1,4,3.666666667,3.99,24
1,5,2.666666667,3,23
2,5,3,1.5,24
1,6,4.666666667,3,21
1,5,4.666666667,2.5,25
1,3,4.666666667,1.99,30
1,6,6,2.5,21
1,4,4,1.5,27
2,2,5.666666667,1,22
2,5,6.333333333,0.85,20
1,3,4,0.25,28
1,4,5.666666667,0.79,21
2,6,3,1,22
2,7,1.666666667,0,25
1,4,3,1,24
1,5,3.666666667,0.9,19
2,6,6,0.9,22
1,5,6,0.5,25
1,5,6,2,17
1,4,5.666666667,0.7,23
1,4,4.666666667,0.5,19
1,1,4.666666667,1,23
1,3,4.666666667,0.5,26
1,6,5.333333333,1,20
2,5,6.666666667,1.5,23
2,6,2.333333333,1,20
2,5,1.666666667,0.4,24
1,4,3.5,1,22
1,5,5,0.6,23
1,1,1.333333333,2,22
1,1,3.666666667,0.7,22
1,2,3,0.5,22
2,3,5.333333333,0.4,20
1,3,2.333333333,0.5,23
1,3,1.333333333,1,24
1,3,2.333333333,0.75,20
1,4,3,0.8,22
2,7,5,1.5,24
2,4,2.666666667,0.9,22
1,3,5,0.6,25
1,6,4.666666667,0.89,27
2,6,6.666666667,0.5,22
2,5,6.666666667,0.9,24
1,5,2.333333333,0.5,27
1,2,2.666666667,0.5,20
1,3,2.333333333,0.9,23
2,3,6,0.5,21
1,5,2.666666667,0.7,23
2,3,4.666666667,1.2,20
2,3,6.666666667,1,20
1,5,2,0.9,20
1,4,3.666666667,0.65,22
2,6,5,1,20
2,5,7,1.5,19
2,5,6,1.4,19
2,6,6.333333333,1.5,21
1,6,2.666666667,1,19
1,3,2.666666667,0.6,20
2,4,5.666666667,1.5,21
2,2,1.666666667,0.5,22
2,1,2.333333333,0.9,22
2,5,6,0.45,22
1,3,2,0,23
2,1,2,0.5,27
1,5,6.333333333,0.6,21
1,4,3,0.5,20
1,5,6.666666667,0.7,19
1,3,6,0.8,25
1,3,4,0.9,25
2,5,6,0.6,26
2,6,6.333333333,0.65,22
1,5,5.666666667,0.8,18
2,4,3,0.8,21
2,5,2.333333333,1,23
1,5,4,0.8,18
